procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 352068  37508 1446140    0    0    10    46   60   67 11  0 88  0  0
 0  0      0 352068  37508 1446140    0    0     0     0   40   64  0  1 99  0  0
 1  0      0 352068  37508 1446140    0    0     0     0  161  153 47  1 52  0  0
 1  0      0 352068  37508 1446140    0    0     0     0  244   68 90  0 10  0  0
 1  0      0 352068  37508 1446140    0    0     0     0  244   75 90  0 10  0  0
 1  0      0 352068  37508 1446140    0    0     0     0  243   68 90  0 10  0  0
 1  0      0 352068  37516 1446140    0    0     0    28  250   90 90  0 10  0  0
 1  0      0 352068  37516 1446140    0    0     0     0  242   65 90  0 10  0  0
 1  0      0 352068  37516 1446140    0    0     0     0  242   66 90  0 10  0  0
 1  0      0 352068  37516 1446140    0    0     0     0  244   65 90  0 10  0  0
 1  0      0 352068  37516 1446140    0    0     0     0  242   65 89  1 10  0  0
 1  0      0 352068  37524 1446140    0    0     0    32  252   84 90  0 10  0  0
 1  0      0 352068  37524 1446140    0    0     0     4  247   71 90  0 10  0  0
 1  0      0 352068  37524 1446140    0    0     0     0  248   76 90  0 10  0  0
 1  0      0 352068  37524 1446140    0    0     0     0  253   86 90  0 10  0  0
 1  0      0 352068  37524 1446140    0    0     0     0  241   61 90  0 10  0  0
 1  0      0 352068  37532 1446140    0    0     0    12  249   85 90  0 10  0  0
 1  0      0 352068  37532 1446140    0    0     0     0  243   65 90  0 10  0  0
 1  0      0 352068  37532 1446140    0    0     0     4  244   68 90  0 10  0  0
 1  0      0 352068  37532 1446140    0    0     0     0  245   69 90  0 10  0  0
 1  0      0 352068  37532 1446140    0    0     0     0  243   71 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37540 1446140    0    0     0    12  249   79 90  0 10  0  0
 1  0      0 352068  37540 1446140    0    0     0     0  246   77 90  0 10  0  0
 1  0      0 352068  37540 1446140    0    0     0     0  244   70 90  0 10  0  0
 1  0      0 352068  37540 1446140    0    0     0     4  244   74 90  0 10  0  0
 1  0      0 352068  37540 1446140    0    0     0     0  244   68 89  1 10  0  0
 1  0      0 352068  37548 1446140    0    0     0    12  248   88 90  0 10  0  0
 1  0      0 352068  37548 1446140    0    0     0     0  244   72 90  0 10  0  0
 1  0      0 352068  37548 1446140    0    0     0     0  241   71 89  0 10  0  1
 1  0      0 352068  37548 1446140    0    0     0     0  243   64 90  0 10  0  0
 1  0      0 352068  37548 1446140    0    0     0     4  247   77 90  0 10  0  0
 1  0      0 352068  37556 1446140    0    0     0    12  248   84 90  0 10  0  0
 1  0      0 352068  37556 1446140    0    0     0     0  242   67 90  0 10  0  0
 1  0      0 352068  37556 1446140    0    0     0     0  245   66 90  0 10  0  0
 1  0      0 352068  37556 1446140    0    0     0     0  244   70 90  0 10  0  0
 1  0      0 352068  37556 1446140    0    0     0     0  247   83 90  0 10  0  0
 1  0      0 352068  37564 1446140    0    0     0    16  249   88 90  0 10  0  0
 1  0      0 352068  37564 1446140    0    0     0     0  247   75 90  0 10  0  0
 1  0      0 352068  37564 1446140    0    0     0     0  242   76 90  0 10  0  0
 1  0      0 352068  37564 1446140    0    0     0     0  242   67 90  0 10  0  0
 1  0      0 352068  37564 1446140    0    0     0     0  243   66 90  0 10  0  0
 1  0      0 352068  37572 1446140    0    0     0    12  246   80 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37572 1446140    0    0     0     4  244   75 90  0 10  0  0
 1  0      0 352068  37572 1446140    0    0     0     0  242   66 90  0 10  0  0
 1  0      0 352068  37572 1446140    0    0     0     0  244   76 90  0 10  0  0
 1  0      0 352068  37572 1446144    0    0     0     0  244   70 90  0 10  0  0
 1  0      0 352068  37580 1446144    0    0     0    12  248   84 90  0 10  0  0
 1  0      0 352068  37580 1446144    0    0     0     0  242   66 90  0 10  0  0
 1  0      0 352068  37580 1446144    0    0     0     8  245   84 90  0 10  0  0
 1  0      0 352068  37580 1446144    0    0     0     0  245   74 89  0 10  0  1
 1  0      0 352068  37580 1446144    0    0     0     0  241   67 90  0 10  0  0
 1  0      0 352068  37588 1446144    0    0     0    20  248   82 90  0 10  0  0
 1  0      0 352068  37588 1446144    0    0     0     0  246   80 90  0 10  0  0
 1  0      0 352068  37588 1446144    0    0     0     0  248   71 90  0 10  0  0
 1  0      0 352068  37588 1446144    0    0     0     4  246   72 90  0 10  0  0
 1  0      0 352068  37588 1446144    0    0     0     0  245   66 90  0 10  0  0
 1  0      0 352068  37596 1446144    0    0     0    20  254  104 90  0 10  0  0
 1  0      0 352068  37596 1446144    0    0     0     0  246   70 90  0 10  0  0
 1  0      0 352068  37596 1446144    0    0     0     0  243   70 90  0 10  0  0
 1  0      0 352068  37596 1446144    0    0     0     0  243   73 90  0 10  0  0
 1  0      0 352068  37596 1446144    0    0     0     4  242   66 90  0 10  0  0
 1  0      0 352068  37600 1446144    0    0     0    12  248   82 90  0 10  0  0
 1  0      0 352068  37600 1446144    0    0     0     0  248   86 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37600 1446144    0    0     0     0  245   69 90  0 10  0  0
 1  0      0 352068  37600 1446144    0    0     0     0  242   73 90  0 10  0  0
 1  0      0 352068  37600 1446144    0    0     0     0  243   67 90  0 10  0  0
 1  0      0 352068  37608 1446144    0    0     0    16  250   93 90  0 10  0  0
 1  0      0 352068  37608 1446144    0    0     0     0  248   73 90  0 10  0  0
 1  0      0 352068  37608 1446144    0    0     0     0  244   72 90  0 10  0  0
 1  0      0 352068  37608 1446144    0    0     0     0  243   68 90  0 10  0  0
 1  0      0 352068  37608 1446144    0    0     0     0  241   66 90  0 10  0  0
 1  0      0 352068  37612 1446144    0    0     0    12  247   86 89  0 10  0  1
 1  0      0 352068  37612 1446144    0    0     0     4  244   79 89  1 10  0  0
 1  0      0 352068  37612 1446144    0    0     0     0  243   70 90  0 10  0  0
 1  0      0 352068  37612 1446144    0    0     0     0  243   69 90  0 10  0  0
 1  0      0 352068  37612 1446144    0    0     0     0  242   63 90  0 10  0  0
 1  0      0 352068  37620 1446144    0    0     0    12  250   93 90  0 10  0  0
 1  0      0 352068  37620 1446144    0    0     0     0  242   70 90  0 10  0  0
 1  0      0 352068  37620 1446144    0    0     0     4  245   78 90  0 10  0  0
 1  0      0 352068  37620 1446144    0    0     0     0  244   71 90  0 10  0  0
 1  0      0 352068  37620 1446144    0    0     0     0  244   64 90  0 10  0  0
 1  0      0 352068  37628 1446144    0    0     0    12  248   82 90  0 10  0  0
 1  0      0 352068  37628 1446144    0    0     0     0  241   68 90  0 10  0  0
 1  0      0 352068  37628 1446144    0    0     0     0  243   66 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37628 1446144    0    0     0     4  246   72 90  0 10  0  0
 1  0      0 352068  37628 1446144    0    0     0     0  244   65 90  0 10  0  0
 1  0      0 352068  37632 1446144    0    0     0    12  249   84 90  0 10  0  0
 1  0      0 352068  37632 1446144    0    0     0     0  244   68 90  0 10  0  0
 1  0      0 352068  37632 1446144    0    0     0     0  245   70 90  0 10  0  0
 1  0      0 352068  37632 1446144    0    0     0     0  243   70 90  0 10  0  0
 1  0      0 352068  37632 1446144    0    0     0     4  244   82 90  0 10  0  0
 1  0      0 352068  37640 1446148    0    0     0    12  246   78 90  0 10  0  0
 1  0      0 352068  37640 1446148    0    0     0     0  241   69 90  0 10  0  0
 1  0      0 352068  37640 1446148    0    0     0     0  242   70 89  0 10  0  1
 1  0      0 352068  37640 1446148    0    0     0     0  248   82 90  0 10  0  0
 1  0      0 352068  37640 1446148    0    0     0     0  243   75 90  0 10  0  0
 1  0      0 352068  37648 1446148    0    0     0    20  248   88 90  0 10  0  0
 1  0      0 352068  37648 1446148    0    0     0     0  247   80 90  0 10  0  0
 1  0      0 352068  37648 1446148    0    0     0     0  247   84 90  0 10  0  0
 1  0      0 352068  37648 1446148    0    0     0     0  248   75 90  0 10  0  0
 1  0      0 352068  37648 1446148    0    0     0     0  250   78 90  0 10  0  0
 1  0      0 352068  37656 1446148    0    0     0    20  247   76 90  0 10  0  0
 1  0      0 352068  37656 1446148    0    0     0     4  244   69 90  0 10  0  0
 1  0      0 352068  37656 1446148    0    0     0     0  243   74 90  0 10  0  0
 1  0      0 352068  37656 1446148    0    0     0     0  243   65 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 352068  37664 1446140    0    0     0    12  244   73 90  0 10  0  0
 1  0      0 352068  37664 1446148    0    0     0     8  251   84 90  0 10  0  0
 1  0      0 352068  37664 1446148    0    0     0     0  248   74 90  0 10  0  0
 1  0      0 352068  37664 1446148    0    0     0     4  245   72 90  0 10  0  0
 1  0      0 352068  37664 1446148    0    0     0     0  247   75 90  0 10  0  0
 1  0      0 352068  37664 1446148    0    0     0     0  246   73 90  0 10  0  0
 1  0      0 352068  37672 1446148    0    0     0    12  246   77 90  0 10  0  0
 1  0      0 352068  37672 1446148    0    0     0     0  242   65 90  0 10  0  0
 1  0      0 352068  37672 1446148    0    0     0     0  244   76 89  1 10  0  0
 1  0      0 352068  37672 1446148    0    0     0     4  244   70 89  1 10  0  0
 1  0      0 352068  37672 1446148    0    0     0     0  241   66 90  0 10  0  0
 1  0      0 352068  37680 1446148    0    0     0    12  248   85 90  0 10  0  0
 1  0      0 352068  37680 1446148    0    0     0     0  243   67 90  0 10  0  0
 1  0      0 352068  37680 1446148    0    0     0     0  244   68 89  0 10  0  1
 1  0      0 352068  37680 1446148    0    0     0     0  243   80 90  0 10  0  0
 1  0      0 352068  37680 1446148    0    0     0     4  243   68 90  0 10  0  0
 1  0      0 352068  37684 1446148    0    0     0    12  247   82 90  0 10  0  0
 1  0      0 352068  37684 1446148    0    0     0     0  245   73 90  0 10  0  0
 1  0      0 352068  37684 1446148    0    0     0     0  244   74 90  0 10  0  0
 1  0      0 352068  37684 1446148    0    0     0     0  245   72 90  0 10  0  0
 1  0      0 352068  37684 1446148    0    0     0     0  244   71 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37688 1446148    0    0     0    16  251   83 90  0 10  0  0
 1  0      0 352068  37688 1446148    0    0     0     0  243   70 90  0 10  0  0
 1  0      0 352068  37688 1446148    0    0     0     0  243   66 90  0 10  0  0
 1  0      0 352068  37688 1446148    0    0     0     0  244   72 90  0 10  0  0
 1  0      0 352068  37688 1446148    0    0     0     0  242   64 90  0 10  0  0
 1  0      0 352068  37696 1446148    0    0     0    12  247   84 90  0 10  0  0
 1  0      0 352068  37696 1446148    0    0     0     4  244   66 90  0 10  0  0
 1  0      0 352068  37696 1446148    0    0     0     0  242   65 90  0 10  0  0
 1  0      0 352068  37696 1446148    0    0     0     0  242   69 90  0 10  0  0
 1  0      0 352068  37696 1446148    0    0     0     0  247   70 90  0 10  0  0
 1  0      0 352068  37700 1446148    0    0     0    12  250   86 90  0 10  0  0
 1  0      0 352068  37700 1446152    0    0     0     0  246   72 90  0 10  0  0
 1  0      0 352068  37700 1446152    0    0     0     8  251   86 90  0 10  0  0
 1  0      0 352068  37700 1446152    0    0     0     0  245   67 90  0 10  0  0
 1  0      0 352068  37700 1446152    0    0     0     0  248   83 90  0 10  0  0
 1  0      0 352068  37708 1446152    0    0     0    20  250   84 90  0 10  0  0
 1  0      0 352068  37708 1446152    0    0     0     0  248   74 89  0 10  0  1
 1  0      0 352068  37708 1446152    0    0     0     0  243   58 90  0 10  0  0
 1  0      0 352068  37708 1446152    0    0     0     4  245   72 90  0 10  0  0
 1  0      0 352068  37708 1446152    0    0     0     0  243   64 90  0 10  0  0
 1  0      0 352068  37716 1446152    0    0     0    20  250   88 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37716 1446152    0    0     0     0  243   66 90  0 10  0  0
 1  0      0 352068  37716 1446152    0    0     0     0  243   67 90  0 10  0  0
 1  0      0 352068  37716 1446152    0    0     0     0  246   69 90  0 10  0  0
 1  0      0 352068  37716 1446152    0    0     0     4  244   72 90  0 10  0  0
 1  0      0 352068  37724 1446152    0    0     0    12  250   88 90  0 10  0  0
 1  0      0 352068  37724 1446152    0    0     0     0  242   68 90  0 10  0  0
 1  0      0 352068  37724 1446152    0    0     0     0  244   69 90  0 10  0  0
 1  0      0 352068  37724 1446152    0    0     0     0  244   74 90  0 10  0  0
 1  0      0 352068  37724 1446152    0    0     0     0  244   83 90  0 10  0  0
 1  0      0 352068  37732 1446152    0    0     0    16  248   88 89  1 10  0  0
 1  0      0 352068  37732 1446152    0    0     0     0  246   76 90  0 10  0  0
 1  0      0 352068  37732 1446152    0    0     0     0  242   73 90  0 10  0  0
 1  0      0 352068  37732 1446152    0    0     0     0  244   69 90  0 10  0  0
 1  0      0 352068  37732 1446152    0    0     0     0  244   74 90  0 10  0  0
 1  0      0 352068  37740 1446152    0    0     0    12  253  101 90  0 10  0  0
 1  0      0 352068  37740 1446152    0    0     0     4  244   80 90  0 10  0  0
 1  0      0 352068  37740 1446152    0    0     0     0  241   61 90  0 10  0  0
 1  0      0 352068  37740 1446152    0    0     0     0  241   69 90  0 10  0  0
 1  0      0 352068  37740 1446152    0    0     0     0  247   75 90  0 10  0  0
 1  0      0 352068  37748 1446152    0    0     0    12  250   90 90  0 10  0  0
 1  0      0 352068  37748 1446152    0    0     0     0  243   66 89  0 10  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37748 1446152    0    0     0     4  242   72 90  0 10  0  0
 1  0      0 352068  37748 1446152    0    0     0     0  247   65 90  0 10  0  0
 1  0      0 352068  37748 1446152    0    0     0     0  243   69 90  0 10  0  0
 1  0      0 352068  37756 1446152    0    0     0    12  250   89 90  0 10  0  0
 1  0      0 352068  37756 1446152    0    0     0     0  241   68 90  0 10  0  0
 1  0      0 352068  37756 1446152    0    0     0     0  246   76 90  0 10  0  0
 1  0      0 352068  37756 1446152    0    0     0     4  243   70 90  0 10  0  0
 1  0      0 352068  37756 1446152    0    0     0     0  242   64 90  0 10  0  0
 1  0      0 352068  37764 1446152    0    0     0    12  247   84 90  0 10  0  0
 1  0      0 352068  37764 1446152    0    0     0     0  245   70 90  0 10  0  0
 1  0      0 352068  37764 1446152    0    0     0     0  243   72 90  0 10  0  0
 1  0      0 352068  37764 1446152    0    0     0     0  244   70 90  0 10  0  0
 1  0      0 352068  37764 1446152    0    0     0     4  243   67 90  0 10  0  0
 1  0      0 352068  37772 1446152    0    0     0    12  253   84 90  0 10  0  0
 1  0      0 352068  37772 1446152    0    0     0     0  247   93 90  0 10  0  0
 1  0      0 352068  37772 1446156    0    0     0     0  255   83 89  1 10  0  0
 1  0      0 352068  37772 1446156    0    0     0     0  245   67 90  0 10  0  0
 1  0      0 352068  37772 1446156    0    0     0     0  248   82 90  0 10  0  0
 1  0      0 352068  37780 1446156    0    0     0    20  252   98 90  0 10  0  0
 1  0      0 352068  37780 1446156    0    0     0     0  244   66 90  0 10  0  0
 1  0      0 352068  37780 1446156    0    0     0     0  246   74 90  0 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 352068  37780 1446156    0    0     0     0  246   68 90  0 10  0  0
 1  0      0 352068  37780 1446156    0    0     0     0  242   68 90  0 10  0  0
 1  0      0 352068  37788 1446156    0    0     0    20  250   80 89  1 10  0  0
