procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5661168  76332 2164788    0    0     0     2   10    1  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   53   63  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   43   55  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   36   59  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   48   57  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   93  120  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0   140   72   84  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   51   65  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   47   66  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   69   78  0  0 100  0  0
 0  0      0 5661168  76332 2164792    0    0     0     0   37   59  0  0 100  0  0
 0  0      0 5661168  76336 2164788    0    0     0    20   51   75  0  0 100  0  0
 0  0      0 5661168  76336 2164792    0    0     0     4   75   83  0  0 100  0  0
 0  0      0 5661168  76336 2164792    0    0     0     0   56   61  0  0 100  0  0
 0  0      0 5661168  76336 2164792    0    0     0     0   39   59  0  0 100  0  0
 0  0      0 5661168  76336 2164792    0    0     0     0   65   72  0  0 100  0  0
 0  0      0 5661168  76344 2164792    0    0     0    20   57   78  0  0 100  0  0
 0  0      0 5661168  76344 2164792    0    0     0     0   51   61  0  0 100  0  0
 0  0      0 5661168  76344 2164792    0    0     0     4   44   58  0  0 100  0  0
 0  0      0 5661168  76344 2164792    0    0     0     0   53   66  0  0 100  0  0
 0  0      0 5661168  76344 2164792    0    0     0     0   44   60  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5661168  76348 2164792    0    0     0    12   45   68  0  0 100  0  0
 0  0      0 5661168  76348 2164792    0    0     0     0   59   74  0  0 100  0  0
 0  0      0 5661168  76348 2164792    0    0     0     0   46   62  0  0 100  0  0
 0  0      0 5661168  76348 2164792    0    0     0     4   68   82  0  0 100  0  0
 0  0      0 5661168  76348 2164792    0    0     0     0   52   65  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0    12   61   77  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     0   53   72  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     0   40   58  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     0   54   71  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     4   77   82  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0    12   65   89  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     0   45   56  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     0   40   57  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     0   58   75  0  0 100  0  0
 0  0      0 5661168  76352 2164792    0    0     0     0   51   65  0  0 100  0  0
