procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5268972  82204 2544180    0    0     0     2   10    1  0  0 100  0  0
 0  0      0 5268972  82204 2544168    0    0     0     0   67   73  0  0 100  0  0
 0  0      0 5268972  82212 2544168    0    0     0    32   60   84  0  0 100  0  0
 0  0      0 5268972  82212 2544168    0    0     0     0   61   79  0  0 100  0  0
 0  0      0 5268972  82212 2544168    0    0     0     0   58   74  0  0 100  0  0
 0  0      0 5268972  82212 2544168    0    0     0     4   48   64  0  0 100  0  0
 0  0      0 5268972  82212 2544168    0    0     0     0   63   62  0  0 100  0  0
 0  0      0 5264456  82224 2544344    0    0   188     0  194  206  3  1 94  2  0
 0  0      0 5264456  82232 2544344    0    0     0    64   64   80  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   56   73  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   60   74  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     4   66   73  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   53   70  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   59   75  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0    12   61   84  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   54   76  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   45   64  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     4   83   99  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   53   65  0  0 100  0  0
 0  0      0 5264456  82232 2544344    0    0     0     0   58   76  0  0 100  0  0
 0  0      0 5264456  82236 2544340    0    0     0    12   72   92  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5264456  82236 2544344    0    0     0     0   53   69  0  0 100  0  0
 0  0      0 5264456  82236 2544344    0    0     0     0   52   69  0  0 100  0  0
 0  0      0 5264456  82236 2544344    0    0     0     4   68   80  0  0 100  0  0
 0  0      0 5264456  82236 2544344    0    0     0     0   57   73  0  0 100  0  0
 0  0      0 5264456  82236 2544344    0    0     0     0   48   65  0  0 100  0  0
 0  0      0 5264456  82240 2544344    0    0     0    12   63   80  0  0 100  0  0
 0  0      0 5264456  82240 2544344    0    0     0     0   43   63  0  0 100  0  0
 0  0      0 5264456  82240 2544344    0    0     0   136   67   79  0  0 100  0  0
 0  0      0 5264456  82240 2544344    0    0     0     4   63   67  0  0 100  0  0
 0  0      0 5264456  82240 2544344    0    0     0     0   51   64  0  0 100  0  0
 0  0      0 5264456  82240 2544344    0    0     0     0   57   76  0  0 100  0  0
 0  0      0 5264456  82244 2544344    0    0     0    12   62   74  0  0 100  0  0
 0  0      0 5264456  82244 2544344    0    0     0     0   51   66  0  0 100  0  0
 0  0      0 5264456  82244 2544344    0    0     0     0   70   86  0  0 100  0  0
 0  0      0 5230436  82256 2544476    0    0     4   320  474  417 12  3 84  1  0
 0  0      0 5264364  82272 2546632    0    0     0   548  466  531  9  1 85  6  0
 0  0      0 5264364  82272 2546632    0    0     0     0   52   60  0  0 100  0  0
 0  0      0 5264364  82272 2546632    0    0     0     0   55   78  0  0 100  0  0
 0  0      0 5264364  82272 2546632    0    0     0     0   72   85  0  0 100  0  0
 0  0      0 5264364  82272 2546632    0    0     0   132   90  109  0  0 100  0  0
 0  0      0 5264364  82284 2546620    0    0     0    92   68   93  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5264364  82284 2546620    0    0     0     0  297  425  7  0 93  0  0
 0  0      0 5264364  82284 2546632    0    0     0     0  201  288  5  0 95  0  0
 0  0      0 5264364  82284 2546636    0    0     0     0  203  283  5  0 94  0  0
 0  0      0 5264364  82284 2546636    0    0     0     0  201  251  6  0 94  0  0
 0  0      0 5264364  82284 2546636    0    0     0     0  184  237  6  0 94  0  0
