procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5759436  61112 2064920    0    0     0     2   10   13  0  0 100  0  0
 0  0      0 5759436  61112 2064924    0    0     0     0   77   89  0  0 100  0  0
 0  0      0 5759436  61112 2064924    0    0     0     0   74   87  0  0 100  0  0
 0  0      0 5759436  61112 2064924    0    0     0     0   59   69  0  0 100  0  0
 0  0      0 5759436  61112 2064924    0    0     0     0   64   84  0  0 100  0  0
 0  0      0 5759436  61112 2064924    0    0     0     0   68   88  0  0 100  0  0
 0  0      0 5759436  61116 2064924    0    0     0    32   89  106  0  0 100  0  0
 0  0      0 5759436  61116 2064924    0    0     0     0   97  111  0  0 100  0  0
 0  0      0 5759436  61116 2064924    0    0     0     0   62   85  0  0 100  0  0
 0  0      0 5759436  61116 2064924    0    0     0     0   57   72  0  0 100  0  0
 0  0      0 5759436  61116 2064924    0    0     0     0   65   84  0  0 100  0  0
 0  0      0 5759436  61116 2064924    0    0     0     0   51   74  0  0 100  0  0
 0  0      0 5759436  61120 2064920    0    0     0    36   66   90  0  0 100  1  0
 0  0      0 5759436  61120 2064924    0    0     0     0   51   73  0  0 100  0  0
 3  0      0 5759436  61120 2064924    0    0     0     0   96  107  0  0 100  0  0
 0  0      0 5759436  61120 2064924    0    0     0     0   69   86  0  0 100  0  0
 0  0      0 5759436  61120 2064924    0    0     0     0   59   81  0  0 100  0  0
 1  0      0 5750868  61120 2064924    0    0     0     0  394  143 20  1 78  0  0
 1  0      0 5750868  61124 2064920    0    0     0   104  324   81 25  0 74  1  0
 1  0      0 5750868  61124 2064924    0    0     0     0  318   73 25  0 75  0  0
 1  0      0 5750868  61124 2064924    0    0     0     0  313   87 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5750868  61124 2064924    0    0     0     0  316   72 25  0 75  0  0
 1  0      0 5750868  61124 2064924    0    0     0     0  322   76 25  0 75  0  0
 1  0      0 5750868  61124 2064924    0    0     0     0  311   73 25  0 75  0  0
 2  0      0 5750868  61132 2064916    0    0     0    16  338   99 25  0 75  0  0
 1  0      0 5750868  61132 2064924    0    0     0     0  316   72 25  0 75  0  0
 1  0      0 5750868  61132 2064924    0    0     0     0  317   74 25  0 75  0  0
 1  0      0 5750868  61132 2064924    0    0     0     0  318   77 25  0 75  0  0
 1  0      0 5750868  61132 2064924    0    0     0     0  319   79 25  0 75  0  0
 1  0      0 5750868  61132 2064924    0    0     0     0  318   72 25  0 75  0  0
 1  0      0 5750868  61140 2064916    0    0     0    16  337   90 25  0 74  1  0
 1  0      0 5750868  61140 2064924    0    0     0     0  361  123 25  0 75  0  0
 1  0      0 5750112  61140 2064924    0    0     0     0  366  126 25  0 75  0  0
 1  0      0 5750112  61140 2064924    0    0     0     0  317   80 25  0 75  0  0
 1  0      0 5750112  61140 2064924    0    0     0     0  311   76 25  0 75  0  0
 1  0      0 5750112  61140 2064924    0    0     0     0  315   69 25  0 75  0  0
 1  0      0 5750112  61144 2064920    0    0     0   188  340  102 25  0 75  1  0
 1  0      0 5750112  61144 2064924    0    0     0   216  342   87 25  0 74  1  0
 1  0      0 5750112  61144 2064924    0    0     0     0  313   69 25  0 75  0  0
 1  0      0 5750112  61144 2064924    0    0     0     0  310   71 25  0 75  0  0
 1  0      0 5750112  61144 2064924    0    0     0     0  317   79 25  0 75  0  0
 1  0      0 5750112  61144 2064924    0    0     0     0  315   76 25  0 75  0  0
