procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 366840  18932 1411124    0    0    11    54   44   66  5  0 94  0  0
 0  0      0 366840  18932 1411124    0    0     0     0   41   70  0  0 100  0  0
 0  0      0 366840  18932 1411124    0    0    16     0   83  154 13  1 83  3  0
 0  0      0 366840  18932 1411140    0    0     0     0   58   64 10  0 90  0  0
 0  0      0 366840  18932 1411140    0    0     0     0   63   69 10  0 90  0  0
 0  0      0 366840  18932 1411140    0    0     0     0   62   66 10  0 90  0  0
 0  0      0 366840  18940 1411140    0    0     0    40   86  102 10  0 89  1  0
 0  0      0 366840  18940 1411140    0    0     0     0   68   76 10  1 89  0  0
 0  0      0 366840  18940 1411140    0    0     0     0   78   88 10  0 90  0  0
 0  0      0 366840  18940 1411140    0    0     0     0   77   83 10  0 90  0  0
 0  0      0 366840  18940 1411140    0    0     0  1760   72   84 10  0 90  0  0
 0  0      0 366840  18948 1411140    0    0     0    44   81   92 10  0 84  6  0
 0  0      0 366840  18948 1411140    0    0     0     4   75   76 10  0 90  0  0
 0  0      0 366840  18948 1411140    0    0     0     0   74   78 10  0 90  0  0
 0  0      0 366840  18948 1411140    0    0     0     0   61   67 10  0 90  0  0
 0  0      0 366840  18948 1411140    0    0     0     0   66   69 10  0 90  0  0
 0  0      0 366840  18956 1411140    0    0     0    12   69   77 10  0 88  2  0
 0  0      0 366840  18956 1411140    0    0     0     0   63   66 10  0 90  0  0
 0  0      0 366840  18956 1411140    0    0     0     4   71   74 10  0 90  0  0
 0  0      0 366840  18956 1411140    0    0     0     0   66   73 10  0 90  0  0
 0  0      0 366840  18956 1411140    0    0     0   208   66   66 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 366840  18964 1411140    0    0     0    12   86   96 10  0 86  4  0
 0  0      0 366840  18964 1411140    0    0     0     0   60   68 11  0 89  0  0
 0  0      0 366840  18964 1411140    0    0     0     0   69   74 10  0 90  0  0
 0  0      0 366840  18964 1411140    0    0     0     4   72   76 10  0 90  0  0
 0  0      0 366840  18964 1411140    0    0     0     0   59   63 10  0 90  0  0
 0  0      0 366840  18972 1411140    0    0     0    12   68   73 10  0 84  6  0
 0  0      0 366840  18972 1411140    0    0     0     0   60   63 10  0 90  0  0
 0  0      0 366840  18972 1411140    0    0     0     0   62   63 10  0 90  0  0
 0  0      0 366840  18972 1411140    0    0     0     0   61   66 10  0 90  0  0
 0  0      0 366840  18972 1411140    0    0     0     4   72   73 10  0 90  0  0
 0  0      0 366840  18980 1411140    0    0     0    12   74   84 10  0 84  6  0
 0  0      0 366840  18980 1411140    0    0     0     0   63   69 10  0 90  0  0
 0  0      0 366840  18980 1411140    0    0     0     0   65   70 10  0 90  0  0
 0  0      0 366840  18980 1411140    0    0     0     0   70   84 10  0 90  0  0
 0  0      0 366840  18980 1411140    0    0     0     0   65   72 10  0 90  0  0
 0  0      0 366840  18988 1411140    0    0     0    16   76   87 10  1 89  0  0
 0  0      0 366840  18988 1411140    0    0     0     0   71   71 10  0 90  0  0
 0  0      0 366840  18988 1411140    0    0     0     0   66   72 11  0 89  0  0
 0  0      0 366840  18988 1411140    0    0     0     0   74   80 10  0 90  0  0
 0  0      0 366840  18988 1411140    0    0     0     0   63   72 10  0 90  0  0
 0  0      0 366840  18996 1411140    0    0     0    12   70   85 10  0 88  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 366840  18996 1411140    0    0     0     4   69   70 10  0 90  0  0
 0  0      0 366840  18996 1411140    0    0     0     0   60   66 10  0 90  0  0
 0  0      0 366840  18996 1411140    0    0     0     0   56   61 10  0 90  0  0
 0  0      0 366840  18996 1411144    0    0     0     0   65   67 10  0 90  0  0
 0  0      0 366840  19004 1411144    0    0     0    12   63   72 10  1 86  3  0
 0  0      0 366840  19004 1411144    0    0     0     0   64   70 10  0 90  0  0
 0  0      0 366840  19004 1411144    0    0     0     8   68   68 10  0 90  0  0
 0  0      0 366840  19004 1411144    0    0     0     0   67   72 10  0 90  0  0
 0  0      0 366840  19004 1411144    0    0     0     0   65   71 10  0 90  0  0
 0  0      0 366840  19012 1411144    0    0     0    20   73   84 10  0 90  0  0
 0  0      0 366840  19012 1411144    0    0     0     0   60   64 10  0 90  0  0
 0  0      0 366840  19012 1411144    0    0     0     0   66   70 10  0 90  0  0
 0  0      0 366840  19012 1411144    0    0     0     4   67   73 10  0 90  0  0
 0  0      0 366840  19012 1411144    0    0     0     0   62   72 10  0 90  0  0
 0  0      0 366840  19020 1411144    0    0     0    20   79   81 10  0 89  1  0
 0  0      0 366840  19020 1411144    0    0     0     0   65   65 10  0 90  0  0
 0  0      0 366840  19020 1411144    0    0     0     0   67   69 10  0 90  0  0
 0  0      0 366840  19020 1411144    0    0     0     0   63   67 10  0 90  0  0
 0  0      0 366840  19020 1411144    0    0     0     4   74   79 10  0 90  0  0
 0  0      0 366840  19028 1411144    0    0     0    12   72   80 10  1 88  1  0
 0  0      0 366840  19028 1411144    0    0     0     0   67   82 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 366840  19028 1411144    0    0     0     0   60   64 10  0 90  0  0
 0  0      0 366840  19028 1411144    0    0     0     0   63   62 10  0 90  0  0
 0  0      0 366840  19028 1411144    0    0     0     0   66   74 10  0 90  0  0
 0  0      0 366840  19036 1411144    0    0     0    16   75   87 10  0 90  0  0
 0  0      0 366840  19036 1411144    0    0     0     0   66   68 11  0 89  0  0
 0  0      0 366840  19036 1411144    0    0     0     0   62   65 10  0 90  0  0
 0  0      0 366840  19036 1411144    0    0     0     0   65   67 10  0 90  0  0
 0  0      0 366840  19036 1411144    0    0     0     0   69   76 10  0 90  0  0
 0  0      0 366840  19044 1411144    0    0     0    12   73   82 10  1 85  4  0
 0  0      0 366840  19044 1411144    0    0     0     4   70   74 10  0 90  0  0
 0  0      0 366840  19044 1411144    0    0     0     0   62   66 10  0 90  0  0
 0  0      0 366840  19044 1411144    0    0     0     0   63   63 10  0 90  0  0
 0  0      0 366840  19044 1411144    0    0     0     0   66   73 10  0 90  0  0
 0  0      0 366840  19052 1411144    0    0     0    12   74   91 10  0 88  2  0
 0  0      0 366840  19052 1411144    0    0     0     0   61   61 10  0 90  0  0
 0  0      0 366840  19052 1411144    0    0     0     4   73   72 10  0 90  0  0
 0  0      0 366840  19052 1411144    0    0     0     0   65   65 10  0 90  0  0
 0  0      0 366840  19052 1411144    0    0     0     0   68   71 10  0 90  0  0
 0  0      0 366840  19060 1411144    0    0     0    12   83   96 10  0 81  9  0
 0  0      0 366840  19060 1411144    0    0     0     0   67   73 10  0 90  0  0
 0  0      0 366840  19060 1411144    0    0     0     0   69   71 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 366840  19060 1411144    0    0     0     4   66   72 10  1 89  0  0
 0  0      0 366840  19060 1411144    0    0     0     0   64   68 10  0 90  0  0
 0  0      0 366840  19068 1411144    0    0     0    12   71   86 11  0 88  1  0
 0  0      0 366840  19068 1411144    0    0     0     0   63   69 10  0 90  0  0
 0  0      0 366840  19068 1411144    0    0     0     0   64   67 10  0 90  0  0
 0  0      0 366840  19068 1411144    0    0     0     0   63   63 10  0 90  0  0
 0  0      0 366840  19068 1411144    0    0     0     4   71   73 10  0 90  0  0
 0  0      0 366840  19076 1411148    0    0     0    12   75   81 10  0 85  5  0
 0  0      0 366840  19076 1411148    0    0     0     0   59   65 10  0 90  0  0
 0  0      0 366840  19076 1411148    0    0     0     0   65   70 10  0 90  0  0
 0  0      0 366840  19076 1411148    0    0     0     0   59   64 10  0 90  0  0
 0  0      0 366840  19076 1411148    0    0     0     0   72   72 10  0 90  0  0
 0  0      0 366840  19084 1411148    0    0     0    20   76   91 10  0 89  1  0
 0  0      0 366840  19084 1411148    0    0     0     0   66   78 10  0 90  0  0
 0  0      0 366840  19084 1411148    0    0     0     0   73   86 10  1 89  0  0
 0  0      0 366840  19084 1411148    0    0     0     0   69   70 10  0 90  0  0
 0  0      0 366840  19084 1411148    0    0     0     0   66   68 10  0 90  0  0
 0  0      0 366840  19092 1411148    0    0     0    20   79   83 11  0 83  6  0
 0  0      0 366840  19092 1411148    0    0     0     4   74   78 10  0 90  0  0
 0  0      0 366840  19092 1411148    0    0     0     0   65   64 10  0 90  0  0
 0  0      0 366840  19092 1411148    0    0     0     0   62   69 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 366840  19100 1411140    0    0     0    12   63   70 10  0 90  0  0
 0  0      0 366840  19100 1411148    0    0     0     8   80   82 10  0 70 20  0
 0  0      0 366840  19100 1411148    0    0     0     0   68   69 10  0 90  0  0
 0  0      0 366840  19100 1411148    0    0     0     4   71   77 10  0 90  0  0
 0  0      0 366840  19100 1411148    0    0     0     0   67   70 10  0 90  0  0
 0  0      0 366840  19100 1411148    0    0     0     0   59   62 10  0 90  0  0
 0  0      0 366840  19108 1411148    0    0     0    12   77   84 10  1 75 14  0
 0  0      0 366840  19108 1411148    0    0     0     0   68   69 10  0 90  0  0
 0  0      0 366840  19108 1411148    0    0     0     4   60   68 10  0 90  0  0
 0  0      0 366840  19108 1411148    0    0     0     0   66   70 10  0 90  0  0
 0  0      0 366840  19108 1411148    0    0     0     0   70   76 10  0 90  0  0
 0  0      0 366840  19116 1411148    0    0     0    12   64   75 10  0 88  2  0
 0  0      0 366840  19116 1411148    0    0     0     0   66   70 10  0 90  0  0
 0  0      0 366840  19116 1411148    0    0     0     0   64   82 10  0 90  0  0
 0  0      0 366840  19116 1411148    0    0     0     4   71   77 10  0 90  0  0
 0  0      0 366840  19116 1411148    0    0     0     0   60   61 10  0 90  0  0
 0  0      0 366840  19124 1411148    0    0     0    12   74   87 10  0 81  9  0
 0  0      0 366840  19124 1411148    0    0     0     0   68   86 10  0 90  0  0
 0  0      0 366840  19124 1411148    0    0     0     0   67   75 10  0 90  0  0
 0  0      0 366840  19124 1411148    0    0     0     0   58   62 10  0 90  0  0
 0  0      0 366840  19124 1411148    0    0     0     4   66   69 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 366840  19132 1411148    0    0     0    12   72   84 10  0 90  0  0
 0  0      0 366840  19132 1411148    0    0     0     0   57   67 10  0 90  0  0
 1  0      0 366840  19132 1411148    0    0     0     0   69   80 10  0 90  0  0
 1  0      0 366840  19132 1411148    0    0     0     0   54   65 10  0 90  0  0
 1  0      0 366840  19132 1411148    0    0     0     0   63   78 10  0 90  0  0
 1  0      0 366840  19140 1411148    0    0     0    16   72   84  9  0 90  1  0
 1  0      0 366840  19140 1411148    0    0     0     0   57   64 10  0 90  0  0
 1  0      0 366840  19140 1411148    0    0     0     0   54   61 10  0 90  0  0
 1  0      0 366840  19140 1411148    0    0     0     0   57   65 10  0 90  0  0
 1  0      0 366840  19140 1411148    0    0     0     0   57   64 10  0 90  0  0
 1  0      0 366840  19148 1411148    0    0     0    12   66   82 10  1 89  0  0
 1  0      0 366840  19148 1411152    0    0     0     8   66   78 10  0 90  0  0
 1  0      0 366840  19148 1411152    0    0     0     0   58   66 10  0 90  0  0
 1  0      0 366840  19148 1411152    0    0     0     0   65   79 10  0 90  0  0
 1  0      0 366840  19148 1411152    0    0     0     0   57   65 10  0 90  0  0
 1  0      0 366840  19156 1411152    0    0     0    20   66   80 10  0 90  0  0
 1  0      0 366840  19156 1411152    0    0     0     0   62   71  9  0 91  0  0
 1  0      0 366840  19156 1411152    0    0     0     4   71   76 10  0 90  0  0
 1  0      0 366840  19156 1411152    0    0     0     0   60   64 10  1 89  0  0
 1  0      0 366840  19156 1411152    0    0     0     0   61   71 10  0 90  0  0
 1  0      0 366840  19164 1411152    0    0     0    20   70   82 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 366840  19164 1411152    0    0     0     0   65   74 10  0 90  0  0
 1  0      0 366840  19164 1411152    0    0     0     0   63   69 10  0 90  0  0
 1  0      0 366840  19164 1411152    0    0     0     4   62   74  9  0 91  0  0
 1  0      0 366840  19164 1411152    0    0     0     0   71   79 10  0 90  0  0
 1  0      0 366840  19172 1411152    0    0     0    12   62   81 10  0 90  0  0
 1  0      0 366840  19172 1411152    0    0     0     0   56   57 10  0 90  0  0
 1  0      0 366840  19172 1411152    0    0     0     0   65   74 10  0 90  0  0
 1  0      0 366840  19172 1411152    0    0     0     0   59   66 10  0 90  0  0
 1  0      0 366840  19172 1411152    0    0     0     4   70   78 10  0 90  0  0
 1  0      0 366840  19180 1411152    0    0     0    12   65   78 10  0 90  0  0
